Epoch,Training Accuracy (%),Training Loss,Validation Accuracy (%),Validation Loss
1,49.666666984558105,1.7503217458724976,85.00000238418579,0.6035018563270569
2,80.66666722297668,0.6353865265846252,88.83333206176758,0.3975919485092163
3,87.76190280914307,0.41446980834007263,90.66666960716248,0.33697426319122314
4,90.66666960716248,0.30067139863967896,91.8333351612091,0.28135403990745544
5,91.90475940704346,0.2672473192214966,92.66666769981384,0.27730703353881836
6,92.66666769981384,0.23749318718910217,92.33333468437195,0.2704410254955292
7,93.85714530944824,0.19567826390266418,93.16666722297668,0.24343383312225342
8,93.76190304756165,0.18898506462574005,93.00000071525574,0.26262009143829346
9,95.4285740852356,0.1540219783782959,93.00000071525574,0.2623195946216583
10,96.1904764175415,0.13590598106384277,93.99999976158142,0.24178652465343475
11,96.33333086967468,0.12912872433662415,94.83333230018616,0.22457727789878845
12,96.28571271896362,0.12268634885549545,93.50000023841858,0.2398556023836136
13,97.2857117652893,0.09256184846162796,93.99999976158142,0.2237670123577118
14,96.71428799629211,0.10510404407978058,94.49999928474426,0.2133551836013794
15,97.19047546386719,0.09468888491392136,94.33333277702332,0.21530406177043915
16,96.8571424484253,0.09929002076387405,94.49999928474426,0.23127390444278717
17,97.42857217788696,0.08387148380279541,94.66666579246521,0.22497904300689697
18,98.00000190734863,0.07921785116195679,94.66666579246521,0.21563543379306793
19,97.42857217788696,0.08261150121688843,94.66666579246521,0.20934529602527618
20,98.00000190734863,0.06913695484399796,94.66666579246521,0.21683919429779053
